id,neighbourhood,room_type,price,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
23686,West Village,Entire home/apt,500,46,0.55,2,243
60164,SoHo,Entire home/apt,500,94,0.99,1,329
61224,Chelsea,Entire home/apt,500,35,0.34,1,348
70609,East Village,Entire home/apt,500,48,0.48,4,297
177421,Greenpoint,Entire home/apt,500,20,0.21,2,127
414801,Clinton Hill,Entire home/apt,500,54,0.65,4,365
546573,Financial District,Entire home/apt,500,63,0.75,1,79
323706,Upper West Side,Entire home/apt,499,64,0.72,1,157
494937,SoHo,Entire home/apt,499,63,0.76,1,26
141335,Park Slope,Entire home/apt,495,35,0.41,1,355
255957,Nolita,Entire home/apt,495,25,0.27,2,338
38663,Boerum Hill,Entire home/apt,475,23,0.27,1,230
148259,Williamsburg,Entire home/apt,451,72,0.86,1,331
162493,Williamsburg,Entire home/apt,450,37,0.79,1,15
479002,Fort Greene,Entire home/apt,450,31,1.14,1,30
241140,Clinton Hill,Private room,438,43,0.46,11,363
276317,Prospect Heights,Entire home/apt,402,89,0.97,1,340
27659,South Slope,Entire home/apt,400,16,0.24,2,216
173742,Gramercy,Entire home/apt,400,105,1.13,1,304
125053,East Village,Entire home/apt,395,70,0.73,1,170
443646,Upper West Side,Entire home/apt,395,39,0.45,1,50
63693,East Village,Entire home/apt,390,143,1.38,2,316
285492,Chelsea,Entire home/apt,385,63,0.71,1,364
493611,Gowanus,Entire home/apt,385,66,0.76,2,363
15396,Chelsea,Entire home/apt,375,5,0.12,1,180
523123,South Slope,Entire home/apt,375,19,0.23,1,43
26933,East Village,Entire home/apt,350,7,0.06,4,298
45910,Ridgewood,Entire home/apt,350,10,0.11,5,365
79067,Clinton Hill,Entire home/apt,350,14,0.3,1,156
188146,Williamsburg,Entire home/apt,350,1,0.02,1,233
236788,DUMBO,Entire home/apt,350,40,0.5,1,67
268868,Chelsea,Entire home/apt,350,64,0.7,1,18
342965,Hell's Kitchen,Entire home/apt,350,24,0.27,1,362
512775,Long Island City,Entire home/apt,350,182,2.2,1,272
513688,Boerum Hill,Entire home/apt,350,134,1.56,1,56
80684,Greenpoint,Private room,349,8,0.09,28,60
80700,Greenpoint,Private room,349,7,0.07,28,60
253828,Greenpoint,Private room,349,8,0.09,28,58
509989,Flatbush,Entire home/apt,349,169,2.08,1,344
512210,Crown Heights,Entire home/apt,349,320,3.85,1,260
483485,Civic Center,Entire home/apt,328,319,3.78,1,112
26969,Williamsburg,Entire home/apt,325,324,3.01,1,107
234184,Harlem,Entire home/apt,325,89,0.94,1,153
258688,West Village,Entire home/apt,325,46,0.5,1,20
424192,Hell's Kitchen,Entire home/apt,325,18,0.21,1,364
424767,Midtown,Entire home/apt,325,197,2.25,1,207
502429,South Slope,Entire home/apt,325,116,1.37,1,203
467569,Lower East Side,Entire home/apt,311,31,0.41,1,28
265831,Nolita,Entire home/apt,310,5,0.09,1,89
57754,Flatiron District,Entire home/apt,305,108,1.09,1,201
152263,Harlem,Entire home/apt,300,203,2.14,3,258
179741,Nolita,Entire home/apt,300,6,0.06,3,115
215907,Upper West Side,Entire home/apt,300,45,0.47,3,31
224006,Harlem,Private room,300,6,0.08,2,83
262583,West Village,Entire home/apt,300,153,1.66,4,246
271950,Upper East Side,Entire home/apt,300,5,0.08,1,27
279093,Harlem,Entire home/apt,300,2,0.06,1,365
295998,Upper West Side,Entire home/apt,300,36,0.47,1,29
401836,Upper East Side,Entire home/apt,300,19,0.22,1,84
409262,Boerum Hill,Entire home/apt,300,23,0.26,2,312
484312,Windsor Terrace,Entire home/apt,300,24,0.39,1,23
533168,Nolita,Entire home/apt,300,92,1.09,1,106
552141,Lower East Side,Entire home/apt,300,45,0.62,1,111
48719,Lower East Side,Entire home/apt,299,109,1.04,1,207
253842,Greenpoint,Private room,299,6,0.1,28,60
272044,East Village,Entire home/apt,299,49,0.53,1,365
328040,Midtown,Entire home/apt,299,19,0.27,1,101
401579,Carroll Gardens,Entire home/apt,298,131,1.84,2,296
147586,Harlem,Entire home/apt,295,74,0.76,2,264
161996,Harlem,Entire home/apt,295,227,2.33,1,247
532288,Greenwich Village,Private room,295,103,1.25,3,350
560078,East Village,Entire home/apt,295,85,1.02,1,261
118430,Chelsea,Private room,290,35,0.36,1,20
227735,East Village,Entire home/apt,288,120,1.27,1,229
19169,Lower East Side,Entire home/apt,285,70,0.62,1,328
62925,Greenpoint,Entire home/apt,285,124,1.22,3,279
