id,neighbourhood,room_type,price,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,row_number
177421,Greenpoint,Entire home/apt,500,20,0.21,2,127,17
414801,Clinton Hill,Entire home/apt,500,54,0.65,4,365,18
60164,SoHo,Entire home/apt,500,94,0.99,1,329,14
546573,Financial District,Entire home/apt,500,63,0.75,1,79,19
61224,Chelsea,Entire home/apt,500,35,0.34,1,348,15
494937,SoHo,Entire home/apt,499,63,0.76,1,26,21
323706,Upper West Side,Entire home/apt,499,64,0.72,1,157,20
255957,Nolita,Entire home/apt,495,25,0.27,2,338,23
479002,Fort Greene,Entire home/apt,450,31,1.14,1,30,27
162493,Williamsburg,Entire home/apt,450,37,0.79,1,15,26
276317,Prospect Heights,Entire home/apt,402,89,0.97,1,340,29
173742,Gramercy,Entire home/apt,400,105,1.13,1,304,31
27659,South Slope,Entire home/apt,400,16,0.24,2,216,30
443646,Upper West Side,Entire home/apt,395,39,0.45,1,50,33
63693,East Village,Entire home/apt,390,143,1.38,2,316,34
285492,Chelsea,Entire home/apt,385,63,0.71,1,364,35
523123,South Slope,Entire home/apt,375,19,0.23,1,43,38
45910,Ridgewood,Entire home/apt,350,10,0.11,5,365,40
509989,Flatbush,Entire home/apt,349,169,2.08,1,344,51
502429,South Slope,Entire home/apt,325,116,1.37,1,203,59
26969,Williamsburg,Entire home/apt,325,324,3.01,1,107,54
258688,West Village,Entire home/apt,325,46,0.5,1,20,56
424192,Hell's Kitchen,Entire home/apt,325,18,0.21,1,364,57
279093,Harlem,Entire home/apt,300,2,0.06,1,365,69
224006,Harlem,Private room,300,6,0.08,2,83,66
152263,Harlem,Entire home/apt,300,203,2.14,3,258,63
552141,Lower East Side,Entire home/apt,300,45,0.62,1,111,75
401836,Upper East Side,Entire home/apt,300,19,0.22,1,84,71
262583,West Village,Entire home/apt,300,153,1.66,4,246,67
295998,Upper West Side,Entire home/apt,300,36,0.47,1,29,70
48719,Lower East Side,Entire home/apt,299,109,1.04,1,207,76
328040,Midtown,Entire home/apt,299,19,0.27,1,101,79
