"id","neighbourhood","room_type","price","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
2539,"Kensington","Private room",149,9,0.21,6,365
2595,"Midtown","Entire home/apt",225,45,0.38,2,355
3831,"Clinton Hill","Entire home/apt",89,270,4.64,1,194
5099,"Murray Hill","Entire home/apt",200,74,0.59,1,129
5178,"Hell's Kitchen","Private room",79,430,3.47,1,220
5238,"Chinatown","Entire home/apt",150,160,1.33,4,188
5295,"Upper West Side","Entire home/apt",135,53,0.43,1,6
5441,"Hell's Kitchen","Private room",85,188,1.5,1,39
5803,"South Slope","Private room",89,167,1.34,3,314
6021,"Upper West Side","Private room",85,113,0.91,1,333
6848,"Williamsburg","Entire home/apt",140,148,1.2,1,46
7097,"Fort Greene","Entire home/apt",215,198,1.72,1,321
7322,"Chelsea","Private room",140,260,2.12,1,12
7726,"Crown Heights","Entire home/apt",99,53,4.44,1,21
8024,"Park Slope","Private room",130,130,1.09,6,347
8025,"Park Slope","Private room",80,39,0.37,6,364
8110,"Park Slope","Private room",110,71,0.61,6,304
8490,"Bedford-Stuyvesant","Entire home/apt",120,88,0.73,2,233
8505,"Windsor Terrace","Private room",60,19,1.37,2,85
9357,"Hell's Kitchen","Entire home/apt",150,58,0.49,1,75
9518,"Inwood","Private room",44,108,1.11,3,311
9657,"East Village","Entire home/apt",180,29,0.24,1,67
9668,"Harlem","Private room",50,242,2.04,3,355
9704,"Harlem","Private room",52,88,1.42,1,255
9782,"Greenpoint","Private room",55,197,1.65,3,284
9783,"Harlem","Private room",50,273,2.37,3,359
10452,"Bedford-Stuyvesant","Private room",70,74,0.66,2,269
10962,"South Slope","Private room",89,168,1.41,3,340
11708,"Bushwick","Entire home/apt",85,231,1.96,2,22
12048,"Lower East Side","Shared room",40,214,1.81,4,188
12192,"East Village","Private room",68,245,2.08,2,96
12299,"South Slope","Entire home/apt",120,15,0.39,1,345
12303,"Fort Greene","Private room",120,25,0.23,1,311
12318,"Upper West Side","Private room",135,81,0.69,1,273
12343,"Harlem","Entire home/apt",150,97,0.84,1,309
12627,"Prospect-Lefferts Gardens","Entire home/apt",150,11,0.49,1,95
12937,"Long Island City","Private room",130,248,2.25,1,215
12940,"Bedford-Stuyvesant","Entire home/apt",110,61,0.52,1,265
13394,"Fort Greene","Private room",80,135,1.16,2,192
13808,"Bedford-Stuyvesant","Private room",80,112,1.01,3,251
